2019.07.21 19:17:15 : format : [ios_game1:gs-2]:task_fail:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=893:type=5
2019.07.21 19:17:53 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-6]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1208:time=39
2019.07.21 19:17:55 : format : [ios_game1:gs-2]:role_logout:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:time=41:devicemode=
2019.07.21 19:20:27 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-2]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=112.17.247.191
2019.07.21 19:20:28 : format : [ios_game1:gs-2]:role_login:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:devicemodel=
2019.07.21 19:20:31 : format : [ios_game1:gs-2]:role_logout:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:time=4:devicemode=
2019.07.21 19:20:31 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-2]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1206:time=4
2019.07.21 23:40:22 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:40:24 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1329:time=1
2019.07.21 23:40:27 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:40:28 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1330:time=1
2019.07.21 23:40:31 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-6]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:40:31 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-6]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1311:time=0
2019.07.21 23:40:34 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-3]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:40:35 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-3]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1368:time=1
